"Comment","Designator","Footprint","JLCPCB Part #"
"100nF","C5,C6,C9,C13,C14,C15,C16","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C77082"
"22pF","C7,C8","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1804"
"10nF","C10,C11,C12","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1710"
"BAS40","D1","Package_TO_SOT_SMD:SOT-23"," C77289"
"PMEG4010CEJ","D2","Diode_SMD:D_SOD-323F","C50704"
"Red test LED","D3,D4,D5","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C965799"
"JSM2302","Q1","Package_TO_SOT_SMD:SOT-23"," C916403"
"IRLML6402","Q2","Package_TO_SOT_SMD:SOT-23","C2593"
"MMBT3904","Q3","kitchen_timer:MMBT3904 (SOT-23)"," C7420353"
"10k","R1,R6,R8,R11,R12,R13,R14,R15","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414"
"1k","R7,R9,R10,R16,R17","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17513"
"62K","R18,R19,R20,R21","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17783"
"SKRPACE010","SW2","kitchen_timer:SW_SKRPACE010","C139797"
"ATMEGA328P-AU","U5","Package_QFP:TQFP-32_7x7mm_P0.8mm","C14877"
"MAX7219","U7,U8,U9,U10","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm","C9964"
